path,page_type,language,title,canonical,robots,indexable,in_sitemap,sitemap_files,hreflang,body_chars,unique_chars,template_share_pct,external_links,internal_links,news_aggregation,has_author,has_published_date,has_modified_date,has_reviewed_date,has_source,has_as_of,is_tool,data_completeness,has_adsense,uses_ga4,uses_naver_analytics,uses_supabase,has_meta_refresh,grade,action_reason
/apt/busan-busanjin/choeuphaneulchaeporeseuwon/,apt-complex,ko,초읍하늘채포레스원 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/choeuphaneulchaeporeseuwon/,"noindex,follow",False,False,,,2544,1397,45.1,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 17, ""quarters_charted"": 4, ""area_types"": 3, ""has_chart"": true}",False,True,True,False,False,B,"품질 게이트 미달(거래 17행 · 면적 3유형 · 분기차트 있음) — noindex,follow"
/apt/busan-busanjin/choeupwoldeumereudiangedyupore/,apt-complex,ko,초읍월드메르디앙에듀포레 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/choeupwoldeumereudiangedyupore/,"noindex,follow",False,False,,,2445,1346,44.9,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 11, ""quarters_charted"": 0, ""area_types"": 4, ""has_chart"": false}",False,True,True,False,False,B,"품질 게이트 미달(거래 11행 · 면적 4유형 · 분기차트 없음) — noindex,follow"
/apt/busan-busanjin/daeudiobil1/,apt-complex,ko,대우디오빌1 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/daeudiobil1/,"noindex,follow",False,False,,,2440,1292,47.0,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 13, ""quarters_charted"": 0, ""area_types"": 3, ""has_chart"": false}",False,True,True,False,False,B,"품질 게이트 미달(거래 13행 · 면적 3유형 · 분기차트 없음) — noindex,follow"
/apt/busan-busanjin/daewonkantabilmembeoseu/,apt-complex,ko,대원칸타빌멤버스 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/daewonkantabilmembeoseu/,"noindex,follow",False,False,,,3252,1983,39.0,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 29, ""quarters_charted"": 4, ""area_types"": 5, ""has_chart"": true}",False,True,True,False,False,B,"품질 게이트 미달(거래 29행 · 면적 5유형 · 분기차트 있음) — noindex,follow"
/apt/busan-busanjin/dongilseuwiteu/,apt-complex,ko,동일스위트 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/dongilseuwiteu/,"noindex,follow",False,False,,,3744,2471,34.0,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 45, ""quarters_charted"": 4, ""area_types"": 4, ""has_chart"": true}",False,True,True,False,False,A,품질 게이트 통과 단지 페이지 — 색인 후보
/apt/busan-busanjin/dongwonhwainpaemilri/,apt-complex,ko,동원화인패밀리 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/dongwonhwainpaemilri/,"noindex,follow",False,False,,,3234,2007,37.9,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 34, ""quarters_charted"": 4, ""area_types"": 3, ""has_chart"": true}",False,True,True,False,False,A,품질 게이트 통과 단지 페이지 — 색인 후보
/apt/busan-busanjin/dusanwibeusentium/,apt-complex,ko,두산위브센티움 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/dusanwibeusentium/,"noindex,follow",False,False,,,2060,1020,50.5,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 7, ""quarters_charted"": 0, ""area_types"": 2, ""has_chart"": false}",False,True,True,False,False,B,"품질 게이트 미달(거래 7행 · 면적 2유형 · 분기차트 없음) — noindex,follow"
/apt/busan-busanjin/eljisingaegeum-2-1/,apt-complex,ko,엘지신개금(2-1) 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/eljisingaegeum-2-1/,(none → index),True,True,sitemap-apt-complexes.xml,,4407,3066,30.4,0,18,False,False,False,True,False,True,True,False,"{""deal_rows"": 62, ""quarters_charted"": 4, ""area_types"": 5, ""has_chart"": true}",False,True,True,False,False,A,품질 게이트 통과 단지 페이지 — 색인 후보
/apt/busan-busanjin/gaegeumdongporeutuna/,apt-complex,ko,개금동포르투나 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gaegeumdongporeutuna/,"noindex,follow",False,False,,,2309,1086,53.0,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 7, ""quarters_charted"": 4, ""area_types"": 4, ""has_chart"": true}",False,True,True,False,False,B,"품질 게이트 미달(거래 7행 · 면적 4유형 · 분기차트 있음) — noindex,follow"
/apt/busan-busanjin/gaegeumjugong1/,apt-complex,ko,개금주공1 실거래가·취득세 계산 | 부산진구 — 톺다,https://topda.kr/apt/busan-busanjin/gaegeumjugong1/,"noindex,follow",False,False,,,2444,1317,46.1,0,19,False,False,False,True,False,True,True,False,"{""deal_rows"": 15, ""quarters_charted"": 0, ""area_types"": 2, ""has_chart"": false}",False,True,True,False,False,B,"품질 게이트 미달(거래 15행 · 면적 2유형 · 분기차트 없음) — noindex,follow"
